Degerlendirme Puani,Basvuru Yili,Dogum Tarihi,Burslu ise Burs Yuzdesi,Stk Projesine Katildiniz Mi?,id,Dogum Yeri,Ikametgah Sehri,Universite Kacinci Sinif,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Bolum Diger,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari,Uye Oldugunuz Kulubun Ismi,Hangi STK'nin Uyesisiniz?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite",Degerlendirme Puani (1),Degerlendirme Puani (error),Selected,Cinsiyet,Universite Adi,Universite Turu,Burs Aliyor mu?,Bölüm,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Turu,Lise Bolumu,Lise Mezuniyet Notu,Baska Bir Kurumdan Burs Aliyor mu?,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Ingilizce Biliyor musunuz?,Basvuru Yasi
23.0,2020,2000.0,,,44070,Ankara,Denizli,,Gulveren Anadolu Lisesi,,Ankara,,,,,,,,,22.1523,0.847718,No,Kadin,20 - 25,Devlet,Hayir,30 - 35,2.50 - 2.99,,Diğer,Sayisal,75 - 100,Hayir,Lise,Hayir,,Ortaokul,Evet,Diger,2.0,Hayir,Evet,Diger,Hayir,Hayir,Evet,20.0
18.0,2019,2000.0,,Hayir,41491,Istanbul,Istanbul,,Birebir Temel Lisesi,,Istanbul,,,,,,,Orta,,22.532,4.53198,No,Kadin,30 - 35,Devlet,Hayir,35 - 40,Hazırlığım,Hayir,Ozel,Esit Agirlik,75 - 100,Hayir,Lise,Hayir,,Universite,Hayir,,1.0,Evet,Hayir,,Hayir,Hayir,Evet,19.0
46.0,2014,1991.0,100.0,Evet,164,Fatih,Istanbul,,Bakirkoy Lisesi,,Istanbul,,,,,"Etkinlikler, Organizasyonlar",,,,38.7697,7.23032,No,Kadin,25 - 30,Ozel,Evet,Diğer,3.00 - 3.49,Hayir,Devlet,Esit Agirlik,75 - 100,Hayir,Ortaokul,Emekli,,Universite,Emekli,,2.0,Hayir,Hayir,,Evet,Hayir,,23.0
58.0,2015,1994.0,100.0,Evet,673,Adana,Istanbul,,,Acik lise,Adana,,,,"Uluslararasi Ticaret Klubu, EESTEC",Atasehir Otizm Dernegi,"Geriye donup baktigimda girisimcilige, girisimciligin ne oldugunu bilmedigim ilk okul yillarimda basladigimi fark ettim. Nasil basladi bu girisimcilik diye sordugunuzu duyar gibiyim. Soyle anlatayim. Annemin istanbul seyahatinden getirdigi Ataturk resimli stickerlar ve rozetlerin cok hosuma gitmesiyle basladi. Okul defterimi kitabimi okul cantami susledigim bu stickerlar arkadaslarim tarafindan cok ilgi gordugunu ve herkesin bir tane bana da bir tane bana da demesiyle okulda bunlari gayri resmi bir sekilde pazarlamaya ve satmaya basladim. Bu durum benim daha da istahimi kabartinca kirtasiyeleri gezip ilginc ilginc yapistirma ve rozetler aramaya basladim. Buldugum her farkli urunu okulda sattim. Bunlari yaparken aldigim haz tarif edilemezdi. Kendimi bulmaya baslamisim megerse. 2008 oks de kaydirma yaptim ve hayal kirikligiyla basladigim okulda dersler yerine daha cok sosyallesmeye onem verdim. Kar yagmayan Adanada bir cok okulda yonetim tarafindan duzenlenen kar gezileri bizim okulda duzenlenmeyisini firsat bilip dayimin da Adanada tasimacilik yapiyor olmasinin avantajiyla kendi arkadas cevremi toplayip 20 kisilik sucuk ekmekli bir kar gezisi duzenledim. Sadece eglence amacliydi ve maliyetine onden para toplamistim gun sonunda cebimden hic para harcamayarak bir gezide bulunup eglendigimi fark ettim. bunun uzerine bir sonraki yil icin kafamda fikirler olusmaya basladi. Ben bunun daha buyugunu yaparim. daha genis kitleye ulasarak networkumu genisletirim dedim. kendime 2 kisi sectim yakin cevremden bir nevi takim olduk. O donemde liseli ogrencilerin gunduz partileri revacta olusu iste bu fark yaratmak olur dedim. ilk olarak bilet rakamini belirlemek icin kisi basi maliyet hesabina basladim. Bunun icin kasaplardan sucuk fiyatlari aldim indirim yaptirdim. Sonra firina gidip fiyat aldim. Icecekler icin metro marketten en ucuz alacagimi bildigim icin internetten fiyatlarina baktim ve notumu aldim son olarak dayimi arayip benden arac basi alacagi ucreti sordum. Bunlari bir cizelgeye dokup kisi basi maliyeti cikardim. sonucunda bilet fiyatini olusturdum. Bu olusturdugum bilet rakami iki kisinin maliyetine esitti. Tarihide belirledikten sonra boyle bir organizasyon icin bilet tasarladim ve bastirdim. Yalniz tarihi secerken de sunlara dikkat ettim hem sinavlar bitmis olacak hem karne alinmamis olacak hem de hafta sonuna olmaliydi. Biletleri yaklasik bir bucuk ay onceden bastirip paralari onden toplamam gerektigini cunku gerekli malzemeleri ona gore temin etmeliydim. Bunlarin hepsinden once kendimize bir hedef koyduk kac kisi goturebiliriz diye. 100 kiside karar kildik. Fakat ben her ihtimale karsi 180 tane bilet bastirmistim. Geziye 20 gun kala 80-85 tane bilet satilmisti. Bu bana acaba citayi daha da arttirmalimiyiz sorusunu sordurdu. gezi gununden bir gun once satilan bilet sayisi 100e ulasmisti. Fakat gezi sabahi gelip bilet alarak katilmak isteyecekler olacagini dusunerek malzemeleri 130 kisiye gore tamamladim. Sabah servislerin kalkacagi yere geldigimde ise gordugum manzara hem beni mutlu etti hem de zorlanacagimizi hissettim. Cunku yaklasik 150 kisi olmustuk. Dayimi arayip 2 servis daha istedim. Ve yola cikmadan eksik malzemeleri tamamladim. Gun sonunda cok yorulmus olsak da degmisti. Amaclarima ulasmistim. Daha genis kitleye ulasarak potansiyelimin farkina vardim. Kalan net kari ise daha once anlasmis oldugum 2 kisiye kisi basi bilet satisi olarak komisyon verdim. Bana kalan paranin bir kismi ile Ingilizce kursuna yazildim. Diger kalan kismi ile de ailemden harclik almadan gecirdigim 4-5 ayda bitirdim. Bir sonraki yil ise acik lisenin normal lise duzeyine gelmis olmasiyla sinav oncesi okulda zaman kaybi yasamamak adina acik liseye gectim. Bu zamani sadece derslerle degilde disarida gelistirmek adina bir sigorta acentesinde calismaya basladim. Burada calisirken SEGEM belgesi aldim. Bir sonraki yil ise Avea Vodafone Turkcell bayiligi olan ve bayilik altinda sahada hat satis yapan bir ekibe katildim. Oncelikle asil katilmamin amaci aileme yuk olmadan ygs-lys sinavina hazirlanirken aldigim ozel derslerin ucretlerini karsilamakti. Planimda 3 ay calisip ardindan tamamen sinava odaklanmak vardi. Baslarken aylik anlasip garanti param olsun dusuncesindeydim. prim olarak cok fazla kazanabilecegimi dusunmedigim icin. Basladigim ilk hafta yapmis oldugum satislarin primi ayligimin ustune cikinca patronla konusup prim usulu devam etmek istedigimi ilettim. Prim olarak devam ettigim surecte alacagim ayligin 2 katini kazandim. Patronla olan iliskilerim daha da gelisti ve beni ekip sefi yapti. 3 ay sonrasinda patron digiturk bayiligi alinca hat satis ekibini kapatti. Yaklasik 30 kisilik ekibin 25 i isten ayrilmak durumunda kaldi. Patron sen biyere gidemezsin seninle daha cok isimiz var deyince hem mutlu oldum hem de daha zor bir doneme girdim. Cunku sinav yaklasiyordu. Yeni ise alimlar basladi gelenlere is ogreten ben oldum. Ilerleryen donemde patron bayiye araba kiralamaya basladi. O donem arabamiz yoktu fakat babam yeni emekli oldugu icin bankada ikramiyesi vardi. dusununce araba alip patrona kiralayayim kiraladigim aracida ben kullanayim dedim. Hemen patrona bunu ilettim. Hosuna gitti ve kabul etti. Sonrasinda babami ikna ettim. Ancak alacagim arabadan zarar etmemem gerekiyordu. Arabalara olan ilgim ve piyasaya hakim olusumdan dolayi. 1 hafta gibi bir surede bir araba buldum. Bir sey alirken her zaman uyguladigim bir kriter vardir. Bu kriter bir mali alirken kar edeceksin satarken degil. Bu kriter dogrultusunda buldugum arac sahibi ile gectigim iletisim sonucu sikismis oldugunun farkina vardim. 46 bin lira yazdigi arabayi 44 bin e aldim. 2 ay kiralik olarak para kazandigim aracin ustune. Aracin eskiyen lastikleri, muayenesi ve bakim doneminin yaklasmasindan dolayi araci satiliga cikardim. 2 hafta gibi bir surede 50 bin istedigim araci 48 bin 500 e sattim. ustunden sadece 500 lirasini alarak babama verdim. Bu durum hem beni babami mutlu etti. Ardindan universite kazanip geldigim Istanbulda hemen arastirmalara basladim. Joy Grup adi altinda universiteli ogrencilere yonelik eglenceler duzenleyen ekibe okul temsilcisi olarak katildim. Bilet satislarindan komisyon elde ettim ve buna devam ediyorum. Bir diger temsilciligi ise Educon firmasinin Kariyer Zirveleri adi altinda gerceklestirdigi seminerlerin tanitimi ve satisi icin istanbul temsilciligi ekibine katildim",Orta,,59.3039,1.30392,No,Erkek,25 - 30,Ozel,Evet,40 - 45,,Hayir,Devlet,Sayisal,50 - 74,Hayir,Lise,Hayir,,Ortaokul,Emekli,,3.0,Evet,Evet,Lider/Kaptan,Evet,Evet,Evet,21.0
33.0,2021,1999.0,,,53520,Hatay,Hatay,,Selim Nevzat Sahin Anadolu Lisesi,,Hatay,,Kyk bursu,ve uzeri,,,,,,31.8509,1.14906,No,Kadin,25 - 30,Devlet,Hayir,40 - 45,2.50 - 2.99,,Diğer,Sayisal,75 - 100,Evet,Ilkokul,,,Ilkokul,,Diger,3.0,Hayir,Evet,Diger,,,Evet,22.0
15.0,2020,2000.0,,,47144,Ankara,Duzce,,Mustafa Kemal Mesleki Ve Teknik Anadolu Lisesi,,Ankara,,,,,,,,,21.6445,6.64454,No,Kadin,25 - 30,Devlet,Hayir,20 - 25,3.50 - 4.00,,Devlet,Sayisal,75 - 100,Hayir,Ilkokul,Hayir,,Ortaokul,Hayir,,2.0,Hayir,Evet,,Hayir,Hayir,Hayir,20.0
7.0,2022,2002.0,,,64771,Trabzon,Ankara,,Aksu 15 Temmuz Sehitler Anadolu Lisesi,,Giresun,,Kyk,,,,,,,13.0184,6.01841,No,Kadin,45 - 50,Devlet,Hayir,25 - 30,2.50 - 2.99,,Devlet,Esit Agirlik,75 - 100,Evet,Ilkokul,Hayir,,Lise,Evet,Ozel Sektor,1.0,Hayir,Hayir,,Hayir,Hayir,Evet,20.0
54.0,2015,1995.0,0.0,Evet,16096,Istanbul,Istanbul,,,orfi cetinkaya,Istanbul,,,,Kocaeli Universitesi-Edebiyat Kulubu,Toplum gonulluleri vakfi,Omo hadi hareketlen kirlen ogren projesinde oyun calisanligi yaptim,Orta,,50.1055,3.89446,No,Kadin,25 - 30,Devlet,Hayir,Diğer,2.50 - 2.99,Hayir,Devlet,Esit Agirlik,75 - 100,Hayir,Ilkokul,Evet,Ozel Sektor,Ilkokul,Hayir,,1.0,Evet,Hayir,,Evet,Evet,Evet,20.0
45.0,2021,2002.0,,,56662,Istanbul,Istanbul,,Eyup Anadolu Lisesi,,Istanbul,,,,,,,,,40.3977,4.60231,No,Kadin,30 - 35,Devlet,Hayir,25 - 30,Hazırlığım,,Diğer,Esit Agirlik,75 - 100,Hayir,Ilkokul,,,Ilkokul,,,2.0,Evet,Hayir,,,,Evet,19.0
41.0,2020,1970.0,,,47664,Trabzon,Izmir,,Arakli Mehmet Akif Ersoy Anadolu Lisesi,,Trabzon,,KYK,,,,,,,21.7296,19.2704,No,Kadin,20 - 25,Devlet,Hayir,25 - 30,1.80 - 2.49,,Diğer,Sayisal,75 - 100,Evet,Ilkokul,Hayir,,Universite,Hayir,,5.0,Hayir,Evet,,Hayir,Hayir,Evet,Gelecekten
62.0,2016,1995.0,,Evet,24868,Adana,Istanbul,,Sungurbey Anadolu Lisesi,,Adana,,,,IEEE ITU,,,Orta,,60.2744,1.72561,No,Kadin,50 - 55,Devlet,Hayir,35 - 40,2.50 ve altı,Hayir,Devlet,Sayisal,,Hayir,Lise,Emekli,,Universite,Evet,Kamu,1.0,Evet,Hayir,,Hayir,Evet,Evet,21.0
42.0,2022,2000.0,,,59495,Aydin,Izmir,,Kusadasi Ozel Bahcesehir Anadolu Lisesi,,Aydin,,TUBITAK,ve ustu,,"Okulumdaki Biyomuhendislik Ogrenci Kulubunde kongre organize ettim, TEMA gonullusuyum",,,,48.0224,6.02244,No,Kadin,45 - 50,Devlet,Hayir,35 - 40,3.00 - 3.49,,Ozel,Sayisal,75 - 100,Hayir,Universite,Evet,Ozel Sektor,Universite,Hayir,,2.0,Evet,Evet,Bireysel Spor,Evet,Hayir,Evet,22.0
62.0,2016,1996.0,,Evet,22791,Balikesir,Ankara,,Gulser-Mehmet Bolluk Anadolu Lisesi,,Balikesir,,KYK BURSU,,Yildirim Beyazit Universitesi Fotografcilik Kulubu,,,Ileri,,61.2617,0.73833,No,Kadin,60 - 65,Devlet,Hayir,65 - 70,2.50 ve altı,Hayir,Devlet,Esit Agirlik,,Evet,Ortaokul,Hayir,,Lise,Evet,Diger,1.0,Evet,Hayir,,Hayir,Hayir,Evet,20.0
36.0,2022,2001.0,,,60570,Istanbul,Istanbul,,Erdem Beyazit Anadolu Lisesi,,Istanbul,,,,,Okulun kulup etkinliklerinde aktif olarak gorev aliyorum,,,,36.8065,0.806528,No,Kadin,40 - 45,Ozel,Evet,45 - 50,2.50 - 2.99,,Devlet,Esit Agirlik,75 - 100,Hayir,Ilkokul,Hayir,,Ilkokul,Evet,Ozel Sektor,4.0,Evet,Hayir,,Evet,Hayir,Evet,21.0
37.0,2017,1996.0,,Evet,30839,Istanbul,Istanbul,,Kocaeli Anadolu Lisesi,,Kocaeli,,,,Sabanci Universitesi Ekonomi ve Isletme Kulubu,,,Ileri,,28.7258,8.27418,No,Kadin,40 - 45,Ozel,Evet,Diğer,3.00 - 3.49,,Devlet,Sayisal,75 - 100,Hayir,Universite,Evet,,Universite,Emekli,,1.0,Evet,Hayir,,Hayir,Hayir,Evet,21.0
78.0,2016,1994.0,,Hayir,25527,Sivas,Ankara,,Guvercinlik anadolu teknik lisesi,,Ankara,,,,"Hacettepe elektronik spor toplulugu, acm Hacettepe",Yesilay,,Baslangic,,89.8519,11.8519,No,Erkek,45 - 50,Devlet,Hayir,30 - 35,2.50 - 2.99,Hayir,Devlet,Sayisal,,Hayir,Ilkokul,Hayir,,Ilkokul,Evet,Ozel Sektor,3.0,Evet,Evet,Lider/Kaptan,Evet,Hayir,Evet,22.0
13.0,2019,1999.0,75.0,Hayir,5557,Istanbul,Istanbul,Hazirlik,Galata Mesleki Ve Teknik Anadolu Lisesi,,Istanbul,,Kredi Yurtlar Kurumu,,,,,Orta,,20.9227,7.92266,No,Kadin,35 - 40,Devlet,Evet,30 - 35,Hazırlığım,Hayir,Devlet,Esit Agirlik,84-70,Evet,Lise,Evet,Ozel Sektor,Ilkokul,Hayir,,0.0,Evet,Hayir,,Hayir,Evet,Evet,20.0
27.0,2021,2000.0,,,55272,Konya,Konya,,zafer lisesi,,Konya,,,,,,,,,31.7608,4.76078,No,Kadin,20 - 25,Devlet,Hayir,25 - 30,3.50 - 4.00,,Diğer,Sayisal,75 - 100,Hayir,Ilkokul,,,Lise,,Kamu,3.0,Evet,Hayir,,,,Hayir,21.0
3.0,2019,1998.0,,Hayir,40827,Van,Istanbul,,Tepekent Anadolu Lisesi,,Istanbul,,K.Y.K,,,,,Orta,,3.9619,0.9619,No,Erkek,20 - 25,Devlet,Hayir,30 - 35,Hazırlığım,Hayir,Devlet,Sayisal,84-70,Evet,Egitimi yok,Hayir,,Egitimi yok,Hayir,,5.0,Hayir,Hayir,,Hayir,Evet,Evet,21.0
58.0,2016,1995.0,,Hayir,24073,Sanliurfa,Ankara,,YIL Anadolu Lisesi,,Adana,,,,Bilim Kurgu ve Fantezi Toplulugu,,,Ileri,,63.1436,5.14365,No,Erkek,45 - 50,Devlet,Hayir,Diğer,3.00 - 3.49,Hayir,Devlet,Dil,,Hayir,Egitimi yok,Hayir,,Egitimi yok,Evet,Ozel Sektor,5.0,Evet,Hayir,,Hayir,Hayir,Evet,21.0
70.0,2016,1995.0,,Evet,23228,Corum,Izmir,,Eti Lisesi,,Corum,,CEKVA,,SKEC,Ege Orman Vakfi,,Orta,,68.1409,1.85905,No,Kadin,50 - 55,Devlet,Hayir,Diğer,2.50 ve altı,Hayir,Devlet,Sayisal,,Evet,Ilkokul,Evet,Ozel Sektor,Ilkokul,Evet,Diger,1.0,Evet,Hayir,,Evet,Hayir,Evet,21.0
42.0,2020,1970.0,,,43736,Samsun,Batman,,Fatsa Ticaret Meslek Lisesi,,Ordu,,,,,,Aslin da yok ama cok fazla fikrim var. Fikirlerin pesinden yuruyorum. Zor ama imkansiz degil,,,30.8146,11.1854,No,Erkek,25 - 30,Devlet,Hayir,Diğer,1.80 - 2.49,,Devlet,Sayisal,50 - 74,Hayir,Ilkokul,Hayir,,Ilkokul,Hayir,,2.0,Hayir,Evet,,Hayir,Evet,Evet,Gelecekten
9.0,2017,1996.0,50.0,Hayir,7775,Istanbul,Sivas,,altinsehir lisesi,,Istanbul,,,,,,,,,10.9329,1.93293,No,Kadin,25 - 30,Ozel,Evet,Diğer,2.50 - 2.99,,Devlet,Sayisal,50 - 74,Hayir,Ilkokul,Hayir,,Lise,Hayir,,1.0,Hayir,Hayir,,Hayir,Hayir,Hayir,21.0
59.0,2019,1995.0,,Evet,37665,Sivas,Samsun,,Ondokuz mayis lisesi,,Samsun,,,,,"Tugva,tema,ihh,tog",,Orta,,59.7894,0.789386,No,Erkek,25 - 30,Devlet,Hayir,15 - 20,2.50 ve altı,Hayir,Devlet,Esit Agirlik,50 - 74,Hayir,Ilkokul,Hayir,,Lise,Evet,Kamu,1.0,Evet,Evet,Lider/Kaptan,Evet,Evet,Evet,24.0
50.0,2021,1999.0,,,51529,Malatya,Malatya,,Beydagi Anadolu Lisesi,,Malatya,,,,,,,,,31.6446,18.3554,No,Kadin,25 - 30,Devlet,Hayir,40 - 45,2.50 - 2.99,,Diğer,Sayisal,75 - 100,Hayir,Ilkokul,,,Lise,,Diger,2.0,Hayir,Evet,Diger,,,Evet,22.0
46.0,2015,1994.0,50.0,Hayir,6565,Aydin,Aydin,,Aydin Adnan Menderes Anadolu Lisesi,,Aydin,,,,Fotografcilik kulubu,,,Orta,,46.5351,0.5351,No,Kadin,35 - 40,Ozel,Evet,Diğer,3.00 - 4.00,Hayir,Devlet,Sayisal,75 - 100,Hayir,Universite,Emekli,,Universite,Evet,Kamu,2.0,Evet,Hayir,Diger,Hayir,Hayir,Evet,21.0
80.0,2016,1994.0,,Evet,24333,Istanbul,Istanbul,,Istanbul Koy Hizmetleri Anadolu Lisesi,,Istanbul,,,,ITU Isletme Muhendisligi Kulubu,Young Guru Academy (YGA,,Ileri,,73.1826,6.81738,No,Kadin,50 - 55,Devlet,Hayir,45 - 50,3.00 - 3.49,Hayir,Devlet,Sayisal,,Hayir,Ilkokul,Emekli,,Lise,Emekli,,1.0,Evet,Hayir,,Evet,Evet,Evet,22.0
12.0,2021,2002.0,100.0,,4486,Istanbul,Istanbul,,Acik lise,,Istanbul,,,,,,,,,25.2543,13.2543,No,Kadin,30 - 35,Ozel,Evet,30 - 35,3.50 - 4.00,,Diğer,Esit Agirlik,75 - 100,Hayir,Ilkokul,,,Ilkokul,,Diger,1.0,Hayir,Hayir,,,,Evet,19.0
13.0,2020,1999.0,100.0,,3720,,Konya,,Fatih sultan mehmet uluslararasi Anadolu imam hatip lisesi,,Istanbul,,TDv,,,,,,,19.2334,6.23338,No,Erkek,25 - 30,Ozel,Evet,35 - 40,1.80 - 2.49,,Diğer,Esit Agirlik,75 - 100,Evet,Egitimi yok,Hayir,,Universite,Hayir,,4.0,Hayir,Evet,,Hayir,Hayir,Hayir,21.0
20.0,2014,1992.0,0.0,Hayir,10868,Hafik,Istanbul,,Behcet Kemal Caglar Lisesi,,Istanbul,,Basbakanlik Bursu,,,,,,,18.2496,1.75038,No,Erkek,20 - 25,Devlet,Evet,30 - 35,3.00 - 3.49,Hayir,Devlet,Sayisal,75 - 100,Evet,Egitimi yok,Hayir,,Ilkokul,Evet,Diger,6.0,Hayir,Hayir,,Hayir,Hayir,,22.0
31.0,2019,1999.0,,Evet,38970,Balikesir,Ankara,,kavram temel lisesi,,Balikesir,,,,,,,Orta,,30.4251,0.574897,No,Erkek,25 - 30,Devlet,Hayir,25 - 30,2.50 - 2.99,Hayir,Devlet,Sayisal,75 - 100,Hayir,Ortaokul,Hayir,,Lise,Evet,Ozel Sektor,1.0,Evet,Hayir,,Hayir,Hayir,Evet,20.0
18.0,2020,,25.0,,9984,,Istanbul,,Ozel Takev Fen Lisesi,,,,,,,,,,,25.5066,7.50662,No,,35 - 40,Ozel,Evet,35 - 40,3.00 - 3.49,,Ozel,Sayisal,75 - 100,Hayir,Universite,Evet,Kamu,Universite,Evet,Ozel Sektor,1.0,Hayir,Evet,,Hayir,Hayir,Evet,Gelecekten
24.0,2017,1995.0,,Evet,31229,Aydin,Aydin,,Aydin Efeler Anadolu Lisesi,,Aydin,,,,SDU FINANSAL YONETIM TOPLULUGU,,,Ileri,,19.145,4.85503,No,Erkek,25 - 30,Devlet,Hayir,25 - 30,2.50 ve altı,,Devlet,Sayisal,84-70,Hayir,Ilkokul,Evet,Diger,Ortaokul,Evet,Diger,1.0,Evet,Hayir,,Hayir,Hayir,Evet,22.0
28.0,2017,1996.0,,Evet,34373,Mardin,Mardin,,Nusaybin Gazi Anadolu Lisesi,,Mardin,,Kredi ve Yurtlar Kurumu,,,,,Baslangic,,24.7274,3.2726,No,Erkek,25 - 30,Devlet,Hayir,15 - 20,2.50 ve altı,,Devlet,Sayisal,50 - 74,Evet,Egitimi yok,Hayir,,Lise,Evet,Diger,2.0,Hayir,Hayir,,Evet,Hayir,Evet,21.0
45.0,2017,1993.0,,Evet,27658,Erzincan,Erzincan,,Milliyet Anadolu Ogretmen,,Erzincan,,EKEV,,"BUSOS, SBK",,,Ileri,,40.0946,4.90542,No,Kadin,40 - 45,Devlet,Hayir,30 - 35,2.50 - 2.99,,Devlet,Sayisal,84-70,Evet,Ilkokul,Hayir,,Lise,Emekli,,2.0,Evet,Hayir,,Evet,Hayir,Evet,24.0
10.0,2017,1995.0,,Hayir,26767,Aydin,Izmir,,Efeler Anadolu Lisesi,,Aydin,,,,,,,,,10.8775,0.877531,No,Erkek,25 - 30,Devlet,Hayir,25 - 30,2.50 - 2.99,,Devlet,Sayisal,84-70,Hayir,Ilkokul,Hayir,,Ilkokul,Evet,Diger,1.0,Hayir,Hayir,,Hayir,Hayir,Hayir,22.0
38.0,2017,1995.0,,Hayir,30929,Ankara,Ankara,,celal yardimci lisesi,,Ankara,,,,odtu verimlilik toplulugu,,,Ileri,,46.0442,8.04417,No,Erkek,35 - 40,Devlet,Hayir,30 - 35,2.50 ve altı,,Devlet,Sayisal,75 - 100,Hayir,Lise,Hayir,,Lise,Evet,Ozel Sektor,2.0,Evet,Hayir,,Evet,Evet,Evet,22.0
9.0,2017,1996.0,,Hayir,31293,Kilis,Istanbul,,ASIM KIBAR ANADOLU OTELCILIK VE TURIZM MESLEK LISESI,,Istanbul,,,,,,,Orta,,9.83124,0.831241,No,Erkek,25 - 30,Devlet,Hayir,Diğer,2.50 ve altı,,Devlet,Esit Agirlik,75 - 100,Hayir,Ilkokul,Evet,Ozel Sektor,Ilkokul,Hayir,,2.0,Hayir,Hayir,,Hayir,Hayir,Evet,21.0
32.0,2014,1994.0,0.0,Evet,14856,Yozgat / Sefaatli,,,Mimar Sinan Lisesi,,Ankara,,,,B.U. Havacilik Kulubu ve B.U. Girisimcilik Kulubu,,"Girisimcikik uzerine 3 yillik bir deneyimim var. En basta akilli televizyonlar uzerine b2b cozum ureten is fikrimizde ankarada ozel bir kulucka merkezine basvurup 6 aylik bir klucka surecinden gectik. Ardindan tubitak 2238 Girisimcilik ve yenilikcilik yarismasinda finale kaldim 1. asama odulu aldim, bunun yanindada girisimcilik ve is plani yazma uzerine egitimler aldim. Hurriyet Garrage klucka merkezinin isfikri yarismasina katildim ve final sunumu yaptim. Yarisma sayesinde networkumu arttirdim ve MCT den cok iyi bir girisimcilik egitimi aldim",,,29.1014,2.8986,No,Erkek,25 - 30,Devlet,Hayir,35 - 40,2.50 ve altı,Hayir,Devlet,Diger,50 - 74,Hayir,Ilkokul,Hayir,,Lise,Emekli,,1.0,Evet,Hayir,,Hayir,Evet,,20.0
24.0,2021,2001.0,,,51280,Istanbul,Izmir,,Rota Anadolu Lisesi,,Izmir,,,,,,,,,19.3643,4.63572,No,Kadin,25 - 30,Devlet,Hayir,35 - 40,1.80 - 2.49,,Ozel,Sayisal,75 - 100,Hayir,Universite,,Kamu,Universite,,Kamu,1.0,Hayir,Hayir,,,,Evet,20.0
32.0,2017,1996.0,,Evet,33590,Ankara,Ankara,,Toplu Konut Idaresi Anadolu Lisesi,,Ankara,,,,"Gazi Universitesi Izci Kulubu , Gazi Universitesi Halk Danslari Toplulugu , Gazi Universitesi Hukuk ve Etkilesim Toplulugu",,,Ileri,,24.8185,7.18152,No,Kadin,25 - 30,Devlet,Hayir,35 - 40,2.50 ve altı,,Devlet,Esit Agirlik,75 - 100,Hayir,Lise,Hayir,,Universite,Emekli,,1.0,Evet,Hayir,,Hayir,Hayir,Evet,21.0
43.0,2020,2001.0,75.0,,5708,Istanbul,Konya,,Yedikule Anadolu Lisesi,,Istanbul,,,,,,"Surekli arkadaslarim ile birlikte fikir alisverisinde bulunup bize ve insanliga faydali olabilecek icatlari dusunuyoruz.Her ne kadar sonucunda basarisiz olsak bile deneyim kazanip,bir daha ayni hatalari yapmamaya ozen gosteriyorum",,,48.4416,5.44161,No,Erkek,30 - 35,Ozel,Evet,30 - 35,3.00 - 3.49,,Diğer,Sayisal,75 - 100,Hayir,Lise,Hayir,,Universite,Evet,Ozel Sektor,1.0,Evet,Evet,Diger,Hayir,Evet,Evet,19.0
24.0,2021,1999.0,,,57162,Batman,Batman,,Saadet ucar Anadolu lisesi,,Batman,,Devlet,ve uzeri,,,,,,12.2934,11.7066,No,Kadin,25 - 30,Devlet,Hayir,20 - 25,3.00 - 3.49,,Diğer,Sozel,75 - 100,Evet,Egitimi yok,,,Ilkokul,,,4.0,Hayir,Hayir,,,,Hayir,22.0
38.0,2017,1997.0,,Evet,32426,Izmir,Eskisehir,,Bornova Anadolu Lisesi,,Izmir,,Kredi ve Yurtlar Kurumu,,"Anadolu Universitesi Eczacilik ve Saglik Kulubu, Kariyer kulubu, Marketin Kulubu",,,Orta,,28.0358,9.96424,No,Kadin,25 - 30,Devlet,Hayir,35 - 40,3.00 - 4.00,,Devlet,Sayisal,75 - 100,Evet,Ilkokul,Evet,Diger,Lise,Hayir,,0.0,Evet,Hayir,,Hayir,Hayir,Evet,20.0
33.0,2020,1998.0,,,42535,Bursa,Adana,,Bursa anadolu ticaret meslek lisesi,,Bursa,,,,,Kadin cinayetlerini durduracagiz,,,,29.7608,3.2392,No,Kadin,25 - 30,Devlet,Hayir,30 - 35,2.50 - 2.99,,Devlet,Sayisal,50 - 74,Hayir,Ilkokul,Hayir,,Ilkokul,Evet,Diger,1.0,Hayir,Evet,,Evet,Hayir,Evet,22.0
22.0,2014,1993.0,0.0,Hayir,15460,Eskisehir,Eskisehir,,H. Suleyman Cakir Lisesi,,Eskisehir,,,,,,Okuldaki girisimcilik ve liderlik dersinde yaptigimiz proje,,,25.1324,3.13236,No,Kadin,20 - 25,Devlet,Hayir,25 - 30,2.50 ve altı,Hayir,Devlet,Esit Agirlik,50 - 74,Hayir,Ortaokul,Hayir,,Ilkokul,Evet,Diger,2.0,Hayir,Hayir,,Hayir,Evet,,21.0
